 INFO  Accepting connections at http://localhost:3000
 HTTP  2025/12/1 銝?9:23:22 ::1 GET /login
 HTTP  2025/12/1 銝?9:23:22 ::1 GET /login
 HTTP  2025/12/1 銝?9:23:22 ::1 GET /login
 HTTP  2025/12/1 銝?9:23:22 ::1 Returned 200 in 102 ms
 HTTP  2025/12/1 銝?9:23:22 ::1 Returned 200 in 12 ms
 HTTP  2025/12/1 銝?9:23:22 ::1 Returned 200 in 11 ms
 HTTP  2025/12/1 銝?9:23:22 ::1 GET /static/js/main.1b2cbe7b.js
 HTTP  2025/12/1 銝?9:23:22 ::1 GET /static/js/main.1b2cbe7b.js
 HTTP  2025/12/1 銝?9:23:22 ::1 GET /static/js/main.1b2cbe7b.js
 HTTP  2025/12/1 銝?9:23:22 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:23:22 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:23:22 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:23:22 ::1 Returned 200 in 4 ms
 HTTP  2025/12/1 銝?9:23:22 ::1 Returned 200 in 4 ms
 HTTP  2025/12/1 銝?9:23:22 ::1 Returned 200 in 4 ms
 HTTP  2025/12/1 銝?9:23:22 ::1 Returned 200 in 25 ms
 HTTP  2025/12/1 銝?9:23:22 ::1 Returned 200 in 24 ms
 HTTP  2025/12/1 銝?9:23:22 ::1 Returned 200 in 23 ms
 HTTP  2025/12/1 銝?9:23:29 ::1 GET /leave-approval
 HTTP  2025/12/1 銝?9:23:29 ::1 GET /leave-application
 HTTP  2025/12/1 銝?9:23:29 ::1 Returned 200 in 3 ms
 HTTP  2025/12/1 銝?9:23:29 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:23:29 ::1 GET /static/js/main.1b2cbe7b.js
 HTTP  2025/12/1 銝?9:23:29 ::1 GET /static/js/main.1b2cbe7b.js
 HTTP  2025/12/1 銝?9:23:29 ::1 Returned 304 in 3 ms
 HTTP  2025/12/1 銝?9:23:29 ::1 Returned 304 in 3 ms
 HTTP  2025/12/1 銝?9:23:29 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:23:29 ::1 GET /static/css/main.6337f997.css
